Compound index,SMILES,blood mean60min,bone mean60min,brain mean60min,fat mean60min,heart mean60min,intestine mean60min,kidney mean60min,liver mean60min,lung mean60min,muscle mean60min,pancreas mean60min,spleen mean60min,stomach mean60min,uterus mean60min
1065A-11C-Octanoate,C(C(O)=O)CCCCCC,0.2,,,,0.24,,,0.79,0.51,0.14,,,,
1065A-11C-Palmitate,CCCCCCCCCCCCCCCCC(=O)O,0.19,0.41,,,1.7,,,4.19,1.81,0.33,,,,
1065A-16-18F-Fluoropalmitate,O=C(O)CCCCCCCCCCCCCCCCF,0.27,1.08,,,0.66,,,3.06,1.11,0.28,,,,
"1065A-6,6,16-16-18F-Trifluoropa",C(CCCCCCCCCCF)(CCCCC(=O)O)(F)F,0.37,1.28,,,0.76,,,5.12,1.23,0.3,,,,
"1065A-6,6,16-16-18F-Trifluoropalmita",C=C(C)CCCCC(F)(F)CCCCCCCCCCF,0.37,1.28,,,0.76,,,5.12,1.23,0.3,,,,
"1065A-7,7,16-16-18F-Trifluoropa",C(CCCCCCCCC(CCCCCC(=O)O)(F)F)F,0.44,1.87,,,0.45,,,2.16,0.94,0.3,,,,
"1065A-7,7,16-16-18F-Trifluoropalmita",O=C(O)CCCCCC(F)(F)CCCCCCCCCF,0.44,1.87,,,0.45,,,2.16,0.94,0.3,,,,
1065A-l-11C-Octanoate,CCCCCCCCC(=O)O,0.2,,,,0.24,,,0.79,0.51,0.14,,,,
1065C-3-MFHA,CC(CCCCCCCCCCCCCCCF)CC(=O)O,0.33,0.98,0.18,,1.09,,0.63,1.14,0.4,,,,,
1065C-5-MFHA,CC(CCCCCCCCCCCCCF)CCCC(=O)O,0.35,0.81,0.15,,1.19,,0.76,1.41,1.04,,,,,
1065C-FPA,O=C(O)CCCCCCCCCCCCCCCCF,0.31,1.82,0.22,,0.51,,1.0,1.19,0.8,,,,,
1066A-18Fendo-10a,C1(c2cocc2)O[C@@H]2CC3C4CCC5=CC(=O)CC[C@@H]5C4CC[C@]3(C)[C@]2(C(=O)CF)O1,0.38,1.11,0.57,2.16,,,1.66,2.4,2.38,0.59,,,,6.8
1066A-18Fendo-10b,[C@H]12CCC(=O)C=C1CCC1C3C[C@H]4OC(C)(c5cocc5)O[C@@]4(C(=O)CF)[C@@]3(C)CCC21,0.32,1.15,0.58,2.86,,,1.59,1.26,1.92,0.64,,,,6.51
1066A-4,[C@H]12CCC(=O)C=C1CCC1C3C[C@@H](CC)C(C(=O)CF)[C@@]3(C)CCC21,0.25,3.18,0.63,3.56,,,1.05,3.34,0.47,0.42,,,,6.43
