Compound index,SMILES,blood mean60min,bone mean60min,brain mean60min,fat mean60min,heart mean60min,intestine mean60min,kidney mean60min,liver mean60min,lung mean60min,muscle mean60min,pancreas mean60min,spleen mean60min,stomach mean60min,uterus mean60min
1280-18F6,COC(=O)CCCCCCCF,0.44,1.42,0.37,,0.39,,0.77,0.32,,,,,,
1280-18F7,CC(CCCCCF)CC(=O)O,,,,,,,,,,,,,,
1280-18F8,O=C(O)CCCCCCCF,0.41,1.58,0.37,,0.34,,0.58,0.3,,,,,,
1307A-18F-CPFPX,CC(C)(C(=O)OCn1c2c(=O)n(CCC)c(=O)n(CCCOS(c3ccc(C)cc3)(=O)=O)c2nc1C1CCCC1)C,1.55,2.27,1.55,,1.63,9.13,2.63,4.36,2.43,,1.03,0.84,,
1308-DFDG,C1(O)C(CO)C2(F)C(F)(C1O)C(O)O2,1.07,,2.95,,6.84,,,1.52,1.83,1.99,,,,
1312A-18F-Fluorodeoxyadenosine,c12c(c(N)ncn1)ncn2C1(C)OC(CO)(C)C(O)(C)C1(C)F,0.519,7.66,,,,,1.73,4.96,0.619,0.293,,0.481,,
1314-FAGal,C[C@H]1[C@@H](O)C(CO)OC(O)[C@@H]1NC(=O)CF,1.42,,0.13,,0.39,,6.84,2.74,0.56,0.14,0.32,0.39,,
1314-FAGlu,C(CF)(=O)NC1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,1.34,,0.25,,0.44,,1.57,1.27,0.55,0.2,0.35,0.34,,
1314-FAMan,C(=O)(N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O)CF,0.67,,0.04,,0.14,,0.82,0.5,0.24,0.04,0.13,0.12,,
1315-18FFAG,C1(NC(=O)CF)C(O)C(O)C(CO)OC1O,1.65,,0.49,,0.86,1.44,3.27,3.71,1.16,0.73,0.69,0.73,,
1317-18F5,C(C(CCC(=O)NNC(CO/N=C\[C@H](C([C@@H](C(CO)O)O)O)F)=O)NC(c1ccc(NCc2cnc3c(=O)nc(N)[nH]c3n2)cc1)=O)(O)=O,0.4,0.5,,,0.69,0.78,1.83,0.54,2.08,0.35,,0.73,,
1317-18F8,C(C(CCC(=O)NNC(CO/N=C\[C@H](C([C@@H](C(CO)O)O)O)F)=O)NC(c1ccc(N(Cc2cnc3c(N)nc(N)nc3n2)C)cc1)=O)(O)=O,1.3,0.62,,,0.91,2.56,1.83,1.45,1.29,0.98,,1.19,,
1318A-F-18FDGal ,C(C1OC(O)C(F)C(O)C1O)O,0.2,0.18,0.5,,0.37,,2.74,7.05,0.37,0.11,,,,
1318D-18FGal,O1C(O)[C@H](F)[C@@H](O)[C@@H](O)[C@H]1CO,0.27,,0.78,,0.52,,4.1,7.9,,0.26,,,,
1319-18FFDT,O1C(O)[C@@H](F)[C@@H](O)[C@@H](O)[C@H]1CO,2.15,0.39,2.78,,3.02,,10.5,3.84,2.79,0.83,,,,
1320E-18F-FDG,O1[C@H](O)[C@H](F)[C@@H](O)[C@H](O)[C@H]1CO,0.24,0.61,2.75,,,1.15,1.29,0.42,1.02,0.21,0.22,1.81,0.25,
1320E-18F-FET,N[C@@H](Cc1ccc(OCCF)cc1)C(=O)O,0.68,0.43,0.57,,,0.61,0.67,0.68,0.73,0.73,1.74,1.05,0.4,
1325B-18F-FAA,Nc1ncnc2c1ncn2C1O[C@@H](CO)[C@H](O)[C@H]1F,,,,,,,,,,,,,,
1325B-18F-FXA,CC1C(CO)OC(n2cnc3c2ncnc3N)C1O,,,,,,,,,,,,,,
1326-18F3,Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)NCCCCn4cc(CCCCF)nn4)C(=O)O)cc3)nc2c(=O)[nH]1,,,,,,,,,,,,,,
1327-18F9,Cc1cc(N)nc(CC(C)F)c1,0.31,2.57,0.11,,0.19,,2.2,2.59,0.31,0.27,,,,
1329-18F5,Nc1nc(=O)c2c(nc(CNc3ccc(C(=O)NC(CCC(=O)NNC(=O)CO/N=C\[C@@H](F)C(O)[C@H](O)C(O)CO)C(=O)O)cc3)cn2)[nH]1,0.4,0.5,,,0.69,0.78,1.83,0.54,2.08,0.35,,0.73,,
1329-18F8,CN(Cc1nc2c(nc1)C(N)N=C(N)N2)c1ccc(C(=O)NC(CCC(=O)NNC(=O)CO/N=C\[C@@H](F)C(O)[C@H](O)C(O)CO)C(=O)O)cc1,1.3,0.62,,,0.91,2.56,1.83,1.45,1.29,0.98,,1.19,,
1331-18F1,CCN(CC)CCNC(c1cc(F)ccn1)=O,0.33,11.29,0.49,,0.6,2.28,1.34,2.07,0.88,0.6,1.06,1.09,2.24,
1331-18F2,CCN(CC)CCNC(c1ccc(F)cn1)=O,0.42,2.4,1.28,,1.17,2.01,3.32,4.71,1.58,1.16,1.61,1.78,4.26,
1331-18F3,CCN(CC)CCNC(c1ccc(F)nc1)=O,0.46,3.48,1.56,,1.54,3.46,5.63,4.47,1.52,1.11,3.58,2.88,5.03,
1334-18F2a,COC12CCC3(CC1C(C)(C)O)C1Cc4c5c(c(O)cc4)OC2[C@@]35CCN1CCCF,0.71,2.89,0.094,,,,0.06,0.98,,0.84,,,,
1338-18F10,CC(=O)N1CCN(Cc2cccc(NC(=O)c3ccc(F)nc3)c2)CC1,1.05,11.32,,,4.8,8.06,4.41,4.71,3.22,3.05,,4.3,2.7,
1338-18F8,COc1ccccc1N1CCN(Cc2cccc(NC(=O)c3ccc(F)nc3)c2)CC1,0.98,12.67,,,4.22,17.35,6.05,49.58,11.8,4.75,,5.33,19.1,
1340-18F1,CCc1c(OCCF)cc2c(c1)ncnc2Nc1ccc(F)c(Cl)c1,5.07,,2.94,,4.26,,3.99,4.22,3.75,3.35,,3.23,4.44,
1340-18F2,C#Cc1cc(Nc2ncnc3cc(OC)c(OCCF)cc23)ccc1,1.19,,0.3,,1.99,,2.53,4.07,1.88,0.82,,0.77,4.14,
1340-18F3,COc1c(OCCF)cc2c(c1)ncnc2Nc1cccc(Br)c1,1.11,,0.19,,0.98,,0.9,1.87,5.6,0.43,,0.8,4.05,
1343-3b,N1(CCCF)CCC23[C@@]45C1Cc1ccc(O)c(c12)O[C@H]3C(OC)(C([C@@](C(C)(C)C)(C)O)C4)CC5,0.66,12.0,0.34,,0.56,,0.86,1.6,0.62,1.4,,0.41,,
1343-4b,N1(CCCF)CCC23[C@@]45C1Cc1ccc(O)c(c12)O[C@H]3C(OC)(C(C(C)(C)O)C4)CC5,0.071,0.26,0.043,,0.048,,0.12,0.18,0.077,0.053,,0.054,,
1344-18F-FPP,c1(F)ccc(C2CCN(CCCF)CC2COc2cc3c(cc2)OCO3)cc1,,,3.6,,,,,,,,,,,
1345-18F3c,C(COc1ccc(C)cc1C(=O)NCCCCN1CCc2cc(OC)c(OC)cc2C1)F,0.56,0.55,0.18,0.22,0.55,,2.51,4.14,0.88,0.34,,,,
1345-18F3d,C(COc1ccc(Br)cc1C(=O)NCCCCN1CCc2cc(OC)c(OC)cc2C1)F,1.69,1.12,0.32,0.38,1.04,,6.92,5.69,1.6,0.58,,,,
1345-18F3e,C(COc1ccc(I)cc1C(=O)NCCCCN1CCc2cc(OC)c(OC)cc2C1)F,3.39,0.99,0.36,0.62,1.61,,9.36,7.31,2.34,0.83,,,,
1345-18F3f,C(COc1c(OC)cc(I)cc1C(=O)NCCCCN1CCc2cc(OC)c(OC)cc2C1)F,0.65,0.93,0.14,0.47,0.69,,3.5,5.57,1.51,0.4,,,,
1352-18FFPND,COC12CCC3(CC1C(C)(C)O)C1Cc4c5c(c(O)cc4)OC2C35CCN1CCCF,,,0.036,,,,,,,,,,,
1354-18F2,C1CC(CNC(=O)c2c(OC)c(Cl)cc(CC)c2O)N(CCF)C1,0.25,0.15,0.21,,0.24,,0.5,1.55,0.46,,,,,
1354-18F3,C1CC(CNC(=O)c2c(OC)c(Cl)cc(CC)c2O)N(CCCF)C1,0.09,0.35,0.19,,0.15,,0.46,0.96,0.87,,,,,
1354-18F4,CCc1c(O)c(C(=O)NCC2CC(F)CN2CC)c(OC)c(Cl)c1,0.14,0.66,0.15,,0.14,,0.38,2.14,0.31,,,,,
1356-18F1,c1ccc(Br)cc1CC(NC1CCN(Cc2ccc(F)cc2)CC1)=O,0.19,,4.82,,1.81,,10.05,5.9,5.22,0.62,,7.07,,
1356-18F2,c1(F)ccccc1CC(NC1CCN(Cc2ccccc2)CC1)=O,0.24,,5.39,,1.62,,9.13,8.22,6.71,0.94,,9.61,,
1357-18F-CML,c1cc(F)ccc1C(=O)NC(CCCCNCC(=O)O)C(=O)O,,,0.38,,5.05,2.35,35.6,9.72,1.12,5.17,0.01,,0.02,
1358-11C-AMP,C1CN(C)CCC1OC(=O)C,,,,,,,,,,,,,,
1358-11C-BMP,c1cc(C(=O)OC2CCN(C)CC2)ccc1F,,,,,,,,,,,,,,
1358-18F-BMP,c1cc(C(=O)OC2CCN(C)CC2)ccc1F,0.2,,0.3,,,,,1.0,,,0.4,,,
1362B-1,C(C)(=O)OC[C@@H]1CCCCN1CCF,,,,,,,,,,,,,,
1362B-2,C(OC1CCN(CCF)C1)(C)=O,,,,,,,,,,,,,,
1362B-3,C(C)(=O)OC1CCN(CCF)CC1,,,,,,,,,,,,,,
1362B-4,C(C)(=O)OC1CCCN(CCF)C1,,,,,,,,,,,,,,
1362B-PMP,C(CC)(=O)OC1CCN(C)CC1,,,,,,,,,,,,,,
1382A-FPT,c1cc(CC(C(=O)[O-])N)ccc1OCCCF,0.52,0.39,0.27,,0.48,,0.78,0.64,0.54,0.46,,0.48,,
1382C-FPT,c1c(OCCCF)ccc(CC(N)C(=O)O)c1,2.58,1.93,1.35,,2.42,,3.91,3.19,2.72,2.3,15.32,2.41,,
1384-5b,C(C1C(O)C(O)C(O)C(OCCCCF)O1)O,,,,,,,,,,,,,,
1384-5c,C(C1C(O)C(O)C(O)C(OCCCCCCCCF)O1)O,,,,,,,,,,,,,,
1387-1b,C(N)(=N)SC,0.32,0.88,0.17,0.07,0.29,,0.64,0.35,0.38,0.32,,,,
1387-3b,C(N)(=N)SCCF,,,,,,,,,,,,,,
1391-18F12,[C@]1(N)(C(O)=O)C[C@@H](F)C1,0.32,0.28,0.2,,0.38,,0.7,0.41,0.42,0.42,2.83,0.52,,
1392-18F9e,c1c(F)ccc(C(C2CCN(C3Cc4ccccc4C[C@H]3O)CC2)=O)c1,0.043,0.623,0.095,0.196,0.094,,0.99,1.402,0.346,0.076,,,,
1398A-18FFE@SUPPY,CCSC(=O)c1c(CC)nc(-c2ccccc2)c(C(=O)OCCF)c1CC,0.038,0.021,0.2,0.114,0.059,,0.07,0.326,0.079,0.024,,0.007,,
1400A-18F2,N#Cc1ccc(OCC2CCN(CCF)CC2)cc1,0.07,0.39,1.08,0.23,0.45,1.24,1.2,1.31,1.78,0.23,,1.63,,
1402A-18FWC-II-89,O=C1C(=O)N(CC2=C=C=C(OCCF)C=C2)c2ccc(S(=O)(=O)N3CCC[C@H]3COc3ccccc3)cc21,0.112,0.132,,0.149,,,0.534,0.378,0.178,0.077,,0.15,,
1403A-18F-4-Fluoroglutamine,NC(=O)[C@H](F)C[C@H](N)C(=O)O,2.05,7.93,0.53,,2.86,,7.6,5.7,4.37,2.86,17.5,4.22,,
1403C-18FGLN,NC(=O)[C@H](F)C[C@H](N)C(=O)O,0.32,1.03,0.13,,0.35,,0.76,0.66,0.41,0.38,1.36,0.53,,
1403C-18FGLU,N[C@@H](C[C@@H](F)C(=O)O)C(=O)O,0.17,2.03,0.05,,0.09,,0.99,0.39,0.17,0.03,0.13,0.34,,
1404A-18F1,[C@H]1(O)[C@H](F)CC2C3CCc4c(ccc(O)c4)C3C(OC)CC12C,0.127,0.083,,0.44,,,1.22,2.3,0.135,0.135,,,,5.8
1404A-18F2,[C@H]1(O)[C@H](F)CC2C3CCc4c(ccc(O)c4)C3C(CC)CC12C,1.09,0.444,,2.27,,,4.05,3.31,0.99,0.75,,,,12.59
1404A-18F3,C#C[C@]1(O)[C@H](F)CC2C3CCc4c(ccc(O)c4)C3CCC12C,0.087,1.268,,0.571,,,0.95,1.548,0.438,0.307,,,,11.152
1405A-18F7,C1CC2C(C[C@@H](F)[C@@]2(O)C#C)C2CCc3c(ccc(O)c3)C12,0.087,1.268,0.16,0.571,,,0.951,1.548,0.438,0.307,,,,11.15
1405A-18F7a,C#C[C@]1(O)C2C[C@H](C)C3c4c(cc(O)cc4)CCC3C2C[C@H]1F,0.259,0.268,0.14,0.134,,,0.531,1.746,0.257,0.193,,,,0.31
1405A-18F8,C#C[C@@]1(O)C2C[C@H](OC)C3c4c(cc(O)cc4)CCC3C2C[C@H]1F,0.09,1.29,0.115,,,,,1.487,,0.322,,,,12.85
1405A-18F8a,C#C[C@]1(O)C2C[C@H](CC)C3c4c(cc(O)cc4)CCC3C2C[C@H]1F,0.438,0.534,,0.254,,,0.996,2.094,,0.306,,,,0.906
1405A-18F9,C#C[C@@]1(O)C2C[C@H](CC)C3c4c(cc(O)cc4)CCC3C2C[C@H]1F,0.06,0.299,,,,,,0.878,,0.439,,,,9.86
1405A-18F9a,C#C[C@]1(O)C2C[C@H](CC)C3c4c(cc(O)cc4)CCC3C2C[C@H]1F,0.204,0.617,,,,,,0.123,,0.523,,,,8.344
1406-18FDOA,N[C@@H](Cc1c(F)c(O)c(O)cc1F)C(=O)O,0.17,,0.14,,0.13,,2.11,0.24,0.2,0.23,1.58,0.15,,
1407B-2-18F,C(N)(Cc1ccccc1CF)C(=O)O,0.79,2.4,0.67,,0.46,0.62,1.4,0.76,0.64,0.53,2.37,0.69,0.52,
1413A-18FO-PEt-PD3,C(COc1cc2c(cc1)nc(-c1ccc(NC)cc1)s2)F,,,,,,,,,,,,,,
1414A-18FDFPA,[C@H](F)(CCCCCC)[C@H](F)CCCCCCCC(=O)O,0.55,1.64,0.15,,0.34,,1.36,1.37,0.46,0.28,0.26,0.22,,
1415-18F11,c1cc(C(Nc2ccc(N3CCN(C(CNC(c4ccnc(F)c4)=O)=O)CC3)cc2)=O)ncc1,,,,,,,,,,,,,,
1415-18F12,c1cccc(COc2ccc(N3CCN(C(COC(c4ccnc(F)c4)=O)=O)CC3)cc2)c1,,,,,,,,,,,,,,
1415-18F2,c1cccc(COc2ccc(N3CCN(C(CNC(c4ccnc(F)c4)=O)=O)CC3)cc2)c1,,,,,,,,,,,,,,
1415-18F3,c1cc(COc2ccc(N3CCN(C(CNC(c4cc(OCCF)ccc4)=O)=O)CC3)cc2)ccc1,,,,,,,,,,,,,,
1415-18F4,c1cc(COc2ccc(N3CCN(C(CNC(c4ccc(F)nc4)=O)=O)CC3)cc2)ccc1,,,,,,,,,,,,,,
1415-18F5,c1cc(COc2ccc(N3CCN(C(CNC(c4cccnc4F)=O)=O)CC3)cc2)ccc1,,,,,,,,,,,,,,
1415-18F6,c1cccc(COc2ccc(N3CCN(C(CNC(c4cc(C)c(F)nc4)=O)=O)CC3)cc2)c1,,,,,,,,,,,,,,
1415-18F7,c1cc(COc2ccc(N3CCN(C(CNC(c4cc(CCCF)ccc4)=O)=O)CC3)cc2)ccc1,,,,,,,,,,,,,,
1415-18F8,c1cc(COc2ccc(N3CCN(C(CNC(c4ccc(CCCF)cc4)=O)=O)CC3)cc2)ccc1,,,,,,,,,,,,,,
1415-18F9,c1cc(COc2ccc(N3CCN(C(CNC(c4ccc(F)cc4)=O)=O)CC3)nc2)ccc1,,,,,,,,,,,,,,
1415-BAY1008472,c1cc(COc2ccc(N3CCN(C(CNC(c4ccnc(F)c4)=O)=O)CC3)nc2)ccc1,,,,,,,,,,,,,,
1415-florbetaben,FCCOCOCCOc1ccc(/C=C/c2ccc(NC)cc2)cc1,,,,,,,,,,,,,,
1419A-18F7,C1CC2c3ccc(O)cc3CCC2C2C1[C@](O)(C#C)[C@H](F)C2,0.087,1.268,0.16,0.571,,,0.951,1.548,0.438,0.307,,,,11.15
1419A-18F7a,C1CC2c3ccc(O)cc3CCC2C2C1[C@@](O)(C#C)[C@H](F)C2,0.259,0.268,0.14,0.134,,,0.531,1.746,0.257,0.193,,,,0.31
1419A-18F8,C1[C@H](OC)C2c3ccc(O)cc3CCC2C2C1[C@](O)(C#C)[C@H](F)C2,0.09,1.29,0.115,,,,,1.487,,0.322,,,,12.85
1419A-18F8a,C1[C@H](OC)C2c3ccc(O)cc3CCC2C2C1[C@@](O)(C#C)[C@H](F)C2,0.438,0.534,,0.254,,,0.996,2.094,,0.306,,,,0.906
1419A-18F9,[C]([C@H]1CC2C(C[C@@H](F)[C@]2(O)C#C)C2CCc3cc(O)ccc3C12)C,0.06,0.299,,,,,,0.878,,0.439,,,,9.86
1419A-18F9a,[C]([C@H]1CC2C(C[C@@H](F)[C@@]2(O)C#C)C2CCc3cc(O)ccc3C12)C,0.204,0.617,,,,,,2.295,,0.523,,,,8.344
1419B-18F7a,C[C@]12C[C@H](OC)C3c4ccc(O)cc4CCC3C1C[C@H](F)[C@@H]2O,0.148,0.515,,0.516,,,0.946,1.178,,0.251,,,,6.122
1419B-18F7b,C[C@]12C[C@H](CC)C3c4ccc(O)cc4CCC3C1C[C@H](F)[C@@H]2O,0.108,0.889,,1.692,,,2.534,2.331,,0.513,,,,5.57
1419B-18F7c,C[C@]12CCC3c4ccc(O)cc4CCC3C1C[C@H](F)[C@@H]2O,0.949,1.008,,0.31,,,2.051,2.957,,0.402,,,,4.994
1419B-18F8a,C[C@]12C[C@H](OC)C3c4ccc(O)cc4CCC3C1C[C@H](F)[C@@]2(O)C#C,0.284,1.384,,1.538,,,1.961,3.244,,0.739,,,,5.197
1419B-18F8b,C[C@]12C[C@H](CC)C3c4ccc(O)cc4CCC3C1C[C@H](F)[C@@]2(O)C#C,0.264,1.365,,3.375,,,1.886,4.023,,0.725,,,,8.197
1419B-18F8c,C[C@]12CCC3c4ccc(O)cc4CCC3C1C[C@H](F)[C@@]2(O)C#C,0.449,0.608,,0.337,,,0.906,2.249,,0.307,,,,7.466
1419C-18F3,C[C@]12C[C@H](OC)C3c4ccc(O)cc4CCC3C1C[C@H](F)[C@@]2(O)C#C,0.285,1.384,0.333,1.539,,,1.962,3.244,,0.738,,0.554,,18.26
1422A-D18FFET,c1c(C[C@H](C(=O)O)N)ccc(OCC)c1F,0.268,0.362,,,,0.228,0.491,0.253,,,1.446,0.357,,
1422A-D18FFMT,c1c(C[C@H](C(=O)O)N)ccc(OC)c1F,0.391,0.686,,,,0.306,0.61,0.325,,,2.385,0.616,,
1422A-D18FFPT,c1c(C[C@H](C(=O)O)N)ccc(OCCC)c1F,0.379,1.185,,,,0.234,0.621,0.385,,,0.577,0.292,,
1422A-L18FFET,c1c(C[C@@H](C(=O)O)N)ccc(OCC)c1F,0.852,0.601,,,,0.729,0.912,0.774,,,6.515,1.038,,
1422A-L18FFMT,c1c(C[C@@H](C(=O)O)N)ccc(OC)c1F,0.747,1.143,,,,0.805,0.858,0.675,,,6.243,1.07,,
1422A-L18FFPT,c1c(C[C@@H](C(=O)O)N)ccc(OCCC)c1F,0.969,1.841,,,,0.601,0.899,1.202,,,4.211,0.882,,
1423A-18FDAFBA,CCN(CCNC(c1ccc(F)cc1)=O)CC,0.67,0.69,1.54,,0.92,1.39,4.2,3.61,1.84,0.65,,1.87,,
1423B-18FFBZA,C(C)N(CCNC(C1=C=C=C(F)C=C1)=O)CC,,,,,,,,,,,,,,
1426-18FFAMB,C(C)(CCF)(C(=O)O)N,0.23,0.46,0.09,,0.27,,2.66,0.58,0.43,0.18,2.75,0.47,,
1427A-8F-5a,CC(N)(F)C(=O)O,0.22,0.19,0.06,,0.28,,4.74,0.5,0.44,0.26,2.95,0.5,,
1427A-8F-5b,CC(N)(F)C(=O)O,0.18,0.29,0.03,,0.2,,2.73,0.78,0.38,0.15,3.24,0.68,,
1427B-R-18F5a,CC(N)(F)C(=O)O,0.25,0.36,,,0.34,,2.96,0.65,0.4,0.52,2.05,0.71,,
1427B-R-18F8a,CNC(C)(F)C(=O)O,0.24,0.51,,,0.24,,4.44,0.52,0.38,0.2,3.41,0.59,,
1427B-S-18F5a,CNC(C)(F)C(=O)O,0.4,0.3,,,0.41,,7.62,0.54,0.47,0.37,3.91,0.62,,
1427B-S-18F8a,CNC(C)(F)C(=O)O,0.24,0.37,,,0.31,,5.18,0.88,0.5,0.24,4.34,0.53,,
1428D-cis-4-FCWAY,COc1ccccc1N1CCN(CCN(C(=O)C2CCCC(F)C2)c2ncccc2)CC1,,,,,,,,,,,,,,
1428D-trans-4-FCWAY,COc1ccccc1N1CCN(CCN(C(=O)C2CCCC(F)C2)c2ncccc2)CC1,,,,,,,,,,,,,,
1430B-18F-FEAnGA-Me,COC(=O)C1O[C@@H](Oc2ccc(COC(=O)NCCF)cc2[N+](=O)[O-])C(O)[C@@H](O)C1O,0.13,0.05,,,0.16,,3.13,0.97,0.05,,0.15,0.17,,
1430B-18F-FEAnGA,O=C(NCCF)OCc1ccc(O[C@@H]2OC(C(=O)O)C(O)[C@H](O)C2O)c([N+](=O)[O-])c1,0.16,0.05,,,0.14,,1.03,0.34,0.12,,0.11,0.14,,
1431-2-18FFFA,Nc1nc2c(nc(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)c(F)c3)cn2)c(=O)[nH]1,,,,,,,,,,,,,,
1432-2S-18F1,CC(CF)NC[C@H](O)COc1c(C2CCCCC2)cccc1,0.17,1.1,0.55,,0.3,,,,,,,,,
1434-18F1,Nc1nc(=O)c2c(nc(CNc3ccc(C(=O)NC(CCC(=O)NNC(=O)c4ccc(F)cc4)C(=O)O)cc3)cn2)[nH]1,2.55,4.6,,,1.24,9.09,25.51,1.02,0.92,1.73,,1.55,,
1434-18F2,Nc1nc(=O)c2c(nc(CNc3ccc(C(=O)NC(CCC(=O)NNC(=O)c4ccnc(F)c4)C(=O)O)cc3)cn2)[nH]1,0.1,0.31,,,0.13,0.12,10.01,0.21,0.11,0.1,,0.34,,
1434-18F8,CN(Cc1nc2c(nc1)nc(N)nc2N)c1ccc(C(=O)NC(CCC(=O)NNC(=O)c2ccc(F)cc2)C(=O)O)cc1,1.9,1.07,,,2.29,14.39,9.83,16.01,2.42,1.15,,5.86,,
1434-18F9,CN(Cc1nc2c(nc1)nc(N)nc2N)c1ccc(C(=O)NC(CCC(=O)NNC(=O)c2ccc(N)c(N)c2)C(=O)O)cc1,3.24,13.46,,,4.2,7.22,1.73,1.13,1.35,1.71,,1.05,,
1435A-18F-FP1OP,CC(C)(C)n1ncc(OCc2ccc(OCCF)cc2)c(Cl)c1=O,2.51,5.28,,,11.32,,6.63,2.14,2.49,6.06,,2.34,,
1435A-18F-FP3OP,CC(C)(C)n1ncc(OCc2ccc(OCCOCCOCCF)cc2)c(Cl)c1=O,1.07,2.34,,,22.06,,12.6,6.77,1.9,6.85,,2.45,,
1436-18FFP2OP,CC(C)(C)n1ncc(OCc2ccc(OCCOCCF)cc2)c(Cl)c1=O,2.13,3.7,,,24.8,,9.25,4.8,3.17,9.74,,2.41,,
1438-18F-FPECMO,CO/N=C1/C=C(C#Cc2nc(F)ccc2)CCC1,,,,,,,,,,,,,,
1440-18F-JNJ41510417,FCCn1cc(-c2ccncc2)c(-c2ccc(OCC3=NC4C=CC=CC4C=C3)cc2)n1,2.1,,0.031,,0.2,12.5,1.3,42.6,0.3,,,0.4,13.7,
1441-18F-L-FEHTP,N[C@@H](Cc1c[nH]c2c1cc(OCCF)cc2)C(=O)O,,,,,,,,,,,,,,
1442B-18F-FMT,OC(=O)[C@@H](N)Cc1c(C)ccc(O)c1,0.46,0.51,0.47,,0.41,,0.42,0.43,0.41,0.43,3.48,,,
1443A-18F-2,CCN(CC)CCNC(=O)c1ccc(F)nc1,,1.4,,,,2.1,,,1.6,,,2.4,3.4,
1443A-18F-4,CCCCNCCCCNC(=O)c1ccc(F)nc1,,2.0,,,,5.8,,,4.5,,,7.4,3.3,
1443A-18F-6,CCN(CC)CCNC(=O)c1ccncc1C,,3.4,,,,7.1,,,1.5,,,9.2,6.8,
1443A-18F-8,*c1nccc(C(=O)NCCN(CC)CC)c1,,1.5,,,,2.9,,,1.8,,,3.2,5.3,
1444E-F18FDMPPF,O=C(c1ccc(F)cc1)N(CCN1CCN(c2c(O)cccc2)CC1)c1ncccc1,0.03,0.05,0.1,,0.1,,0.41,0.6,0.2,0.1,,0.14,,
1445A-18F5a,CNC(C)(CF)C(=O)O,0.22,0.19,0.06,,0.28,,4.74,0.5,0.44,0.26,2.95,0.5,,
1445A-18F5b,CC(N)(CF)C(=O)O,0.18,0.29,0.03,,0.2,,2.73,0.78,0.38,0.15,3.24,0.68,,
1445B-R-18F5,CC(N)(F)C(=O)O,0.25,0.36,0.1,,0.34,,2.96,0.65,0.4,0.52,2.05,0.71,,
1445B-R-18F8,CNC(C)(F)C(=O)O,0.24,0.51,0.05,,0.24,,4.44,0.52,0.38,0.2,3.41,0.59,,
1445B-S-18F5,CNC(C)(F)C(=O)O,0.4,0.3,0.06,,0.41,,7.62,0.54,0.47,0.37,3.91,0.62,,
1445B-S-18F8,CNC(C)(F)C(=O)O,0.24,0.37,0.05,,0.31,,5.18,0.88,0.5,0.24,4.34,0.53,,
1446-125I4,[C@H]1(CNC(=O)c2cc(I)cc(OC)c2OCCF)CCCN1CC,0.78,,0.013,,0.03,,0.39,7.08,0.14,1.96,,0.05,,
1446-125I6,[C@H]1(CNC(=O)c2c(OC)c(OC)cc(I)c2)CCCN1Cc1ccc(F)cc1,0.64,,0.04,,0.06,,1.38,10.44,0.32,4.21,,0.14,,
1447-18F1,Oc1cc(O)cc(/C=C/c2ccc(F)cc2)c1,0.15,0.05,0.05,0.06,0.1,,2.71,1.03,0.34,0.04,0.09,0.48,,
1450-18FT807,Fc1ccc(-c2ccc3c(c2)[nH]c2c3cncc2)cn1,,,,,,,,,,,,,,
1457-18F5,CN(Cc1c(Sc2c(N)cc(Cl)c(F)c2)cccc1)C,4.65,0.08,0.69,,0.11,,1.38,10.3,0.73,7.69,,0.13,,
1460-18a,c1(N)c(Sc2c(CN(C)C)cccc2)ccc(CF)c1,0.1,,0.71,,,,,,,,,,,
1460-18b,c1(N)c(Sc2c(CN(C)C)cccc2)ccc(CCF)c1,0.07,,0.24,,,,,,,,,,,
1460-18c,c1(N)c(Sc2c(CN(C)C)cccc2)ccc(CCCF)c1,0.14,,0.13,,,,,,,,,,,
1460-18F16,c1(N)c(Sc2c(CN(C)C)cccc2)ccc(F)c1,0.08,,0.38,,,,,,,,,,,
1461A-18F,c1cccc2c1[nH]c(=S)n(CCN1CCC(C(c3ccc(F)cc3)=O)CC1)c2=O,0.46,0.22,0.54,,0.3,,0.87,1.36,0.98,0.14,,0.51,0.47,
1466A-18F2,CN(c1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1)C,1.8,1.13,1.28,,1.66,,4.29,8.13,1.82,0.95,,1.56,,
1467A-18F2,c1c2c(cc(OC)c1OCCCF)[C@@]1(C)C[C@@H](O)[C@H](CC(C)C)CN1CC2,0.18,,0.42,,0.3,,0.84,2.47,0.54,0.13,4.98,0.83,,
1467A-18F4,C(CF)COc1cc2c(cc1OC)[C@H]1C[C@]3([C@H](CC(C)C)CN1CC2)CO3,0.1,0.23,0.32,,0.07,,2.21,0.67,0.14,0.04,2.68,0.16,,
1468-18FCNPFH,c1cc(F)c(C#N)cc1C(=O)NCC(=O)O,0.03,0.23,,,0.0,0.89,0.44,0.04,0.01,0.0,,0.01,0.2,
1470-18FAZ11637326,Fc1ccccc1-c1cc2c(nc1)OC1(C2)CN2CCC1CC2,0.48,1.22,0.78,0.28,,,,,,,,,,
1473-18FBF108,CCN(CC)c1cc2nc3c(ccc(N(CC)CCF)c3)cc2cc1,2.32,5.41,1.39,,2.17,9.51,6.42,2.99,5.36,1.48,,2.02,,
