SMILES,logBB
CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCF)cc2)cc1,-0.180456064
CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCF)cc2)cc1,-0.214670165
CNc1ccc(/C=C/c2nc3ccc(I)cc3[nH]2)cc1,-1.0
CNc1ccc(/C=C2\Nc3ccc(I)cc3C2=O)cc1,-0.920818754
CNc1ccc(-c2cc3cc(OC[C@@H](O)CF)ccc3o2)cc1,-0.102372909
CNc1ccc(-c2cc3cc(OC[C@H](O)CF)ccc3o2)cc1,-0.236572006
CNc1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cc1,-0.086186148
CNc1ccc(-c2cc3cc(OCCOCCOCCF)ccc3o2)cn1,-0.086186148
CNc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1,0.127104798
CNc1ccc(-c2nc3cc(OCCF)ccc3o2)cn1,-0.318758763
CNc1ccc(-c2nc3cc(OCCOCCOCCF)ccc3o2)cc1,-0.207608311
CNc1ccc(-c2nc3cc(OCCOCCOCCF)ccc3o2)cn1,-0.187086643
CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,-0.387216143
CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,-0.022276395
CNc1ccc(-c2nc3ccc(OCCF)cc3s2)cn1,-0.193820026
CNc1ccc(-c2nc3ccc(OCCOCCF)cc3s2)cc1,-0.060480747
CNc1ccc(-c2nc3ccc(OCCOCCOCCF)cc3s2)cc1,-0.251811973
CNc1ccc(-c2nc3ccc(OCCOCCOCCF)cc3s2)cn1,-0.366531544
CNc1ccc(-c2nc3ccc(OCCOCCOCCOCCOCCOCCF)cc3s2)cc1,-0.13667714
CNc1ccc2nc(-c3ccc(F)cc3)sc2c1,0.167317335
CNc1ccc2nc(-c3ccc(OCCF)cc3)cnc2c1,-0.22184875
CNc1ccc2nc(-c3ccc(OCCOCCOCCF)cc3)cnc2c1,-0.37675071
CO[C@@H]1CC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@]2(C)C1C(=O)CF,0.401400541
CO[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1NC(=O)N(CCCCCCF)N=O,-0.585026652
CO[C@]12CCC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)C2O5,0.421603927
CO[C@H]1C[C@@]2(C)C(C[C@@H](F)[C@@H]2O)C2CCc3c(ccc(O)c3F)C21,-0.086186148
CO[C@H]1C[C@@]2(C)C(C[C@@H](F)[C@@H]2O)C2CCc3cc(O)c(F)cc3C21,-0.37675071
CO[C@H]1C[C@@]2(C)C(C[C@@H](F)[C@@H]2O)C2CCc3cc(O)ccc3C21,-0.27572413
CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1NC(=O)N(CCCCCCF)N=O,-0.327902142
COC(=O)[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1F)C(C)C,-0.214670165
COC(=O)C1C(c2ccc(F)cc2)CC2CCC1N2CCCF,-0.22184875
COC(=O)C1C(c2ccc(O)cc2)CC2CCC1N2CCCF,0.344392274
COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(C)cc1)N2C,1.342422681
COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)cc1)N2C,0.344392274
COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCF,-0.013228266
COC(=O)CCCCCCCF,-0.075720714
COC12CC[C@@]3(CC1[C@@](C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CCCF)[C@H]2O5,-0.283996656
COC12CC[C@@]3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4C3(CCN1CCCF)[C@H]2O5,-0.214670165
COC12CCC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4[C@@]3(CCN1CCCF)C2O5,-0.886056648
COc1c(Cl)cc(Cl)c(O)c1C(=O)NC[C@@H]1CCCN1CCCCF,0.008600172
COc1c(Cl)cc(Cl)c(O)c1C(=O)NC[C@@H]1CCCN1CCCF,-0.080921908
COc1c(OCF)cccc1C(O)C1CCN(CCc2ccc(F)cc2)CC1,-0.619788758
COc1cc(/C=C/C(=O)/C=C(/C)O)cc(I)c1O,-1.22184875
