compound index,SMILES,PMID,animal type,gender,animal weight (g),injection dosage (μCi),logBB at60min,brain at60min,blood at60min,liver at60min,lung at60min,kidney at60min,muscle at60min,spleen at60min,intestine at60min,bone at60min,stomach at60min,uterus at60min,heart at60min,fat at60min,pancreas at60min,ref No,DOI
1526D-18FFBAU3'5',O=C(OC[C@H]1O[C@@H](n2cc(Br)c(=O)[nH]c2=O)[C@H](F)C1OC(=O)c1ccccc1)c1ccccc1,18589308,CD-1 mouse,male,30.0,54.0,-1.45,0.04,0.17,,,,,0.18,0.5,,,,,,,1526D,10.1016/j.nucmedbio.2008.04.004
1531-18FFBFPA,O=C(Cc1ccccc1F)NC1CCN(Cc2ccc(F)cc2)CC1,16206186,SD rat,male,250.0,70.0,3.34,0.51,0.02,,,,,,,,,,,,,1531,10.1002/syn.20207
1534-123IIBPPA,CCCCN(CC)c1nc(C)nc2c1c(C)cn2-c1c(C)cc(I)cc1C,11295429,Fischer rat,male,250.0,15.0,-0.06,0.17,0.18,,,,,,,,,,,,,1534,10.1016/S0969-8051(00)00199-2
1534-18FFBPPA,CCN(CCCCF)c1nc(C)nc2c1c(C)cn2-c1c(C)cc(C)cc1C,11295429,Fischer rat,male,250.0,65.0,-0.77,0.09,0.19,,,,,,,1.94,,,,,,1534,10.1016/S0969-8051(00)00199-2
1535-18FFTMA,C[N+](C)(C)c1ccc(F)cc1,11518650,mouse,,30.0,100.0,-2.4,0.01,0.11,1.31,0.23,1.14,0.33,0.55,1.12,0.18,,,0.48,,,1535,10.1016/S0969-8051(01)00233-5
1537-11C-BMS-5p,Cc1onc(NS(=O)(=O)c2ccccc2-c2ccc(-c3ncco3)cc2CN(C)C(=O)c2cc3ccccc3n2C)c1C,18703610,CD-1 mouse,male,,306.0,-3.08,0.07,1.53,20.72,6.97,2.81,,,,,,,2.73,,,1537,10.2967/jnumed.108.051565
1537-18F-FBzBMS 5,Cc1ccc(C(=O)N(C)Cc2cc(-c3ncco3)ccc2-c2ccccc2S(=O)(=O)Nc2noc(C)c2C)cc1,18703610,CD-1 mouse,male,,72.0,-3.0,0.05,1.0,37.71,6.04,3.75,,,,,,,3.08,,,1537,10.2967/jnumed.108.051565
1539A-18FCAP,C[C@H](CS)C(=O)N1C[C@@H](F)C[C@H]1C(=O)O,1880575,SD rat,female,173.0,100.0,-0.53,0.08,0.13,0.13,32.71,4.07,,1.01,,0.13,,,0.43,,,1539A,
1541-18FFCF,Oc1ccc(C(=C2CCC(F)CC2)c2ccc(O)cc2)cc1,17499727,SD rat,female,45.0,15.0,,,0.46,0.86,0.37,0.39,0.24,0.12,,0.54,,0.34,0.25,0.37,,1541,10.1016/j.nucmedbio.2007.01.010
1541-18FFECF,Oc1ccc(C(=C2CCCC(CCF)C2)c2ccc(O)cc2)cc1,17499727,SD rat,female,50.0,20.0,,,0.22,1.03,0.35,0.46,0.25,0.2,,0.37,,0.96,0.24,0.6,,1541,10.1016/j.nucmedbio.2007.01.010
1542A-CH,C[N+](C)(C)CCO,11196147,BALB/c mouse,male,20.0,,-0.26,1.7,2.2,67.1,16.7,41.5,2.8,,,,,,9.1,,,1542A,
1542A-FCH,C[N+](C)(CF)CCO,11196147,BALB/c mouse,male,20.0,30.0,-0.63,0.8,1.5,58.4,21.0,94.3,4.1,,,,,,12.7,,,1542A,
1543-18F1,Cc1cc(NCCF)n2ncc(C#N)c2n1,21752641,Kunming mouse,,,10.0,-0.63,1.93,3.63,2.45,2.78,2.58,2.31,2.82,,,,,3.46,,,1543,10.1016/j.bmcl.2011.06.072
1543-18F2,Cc1cc(NCCNC(=O)c2ccc([N+](=O)[O-])cc2F)n2ncc(C#N)c2n1,21752641,Kunming mouse,,,10.0,-1.73,0.08,0.45,4.07,0.56,1.83,0.47,0.53,,,,,0.63,,,1543,10.1016/j.bmcl.2011.06.072
